ID,TYP,Q1A1,Q1A2,Q2A1R,Q2A2,Q2A3,Q3,Q4A1,Q4A2,Q4A3,Q4A4,Q4A5,Q4A6,Q4A7,Q5A1,Q5A2,Q5A3,Q5A4,Q5A5,Q5A6,Q5A7,Q6,Q7A1,Q7A2,Q7A3,Q8A1,Q8A2,Q8A3,Q8A4,Q8B1,Q8B2,Q8B3,Q8B4,Q9A1,Q9A2,Q9A3,Q9A4,Q9A5,Q9B1,Q9B2,Q9B3,Q9B4,Q9B5,Q10A1,Q10A2,Q10A3,Q10A4,Q10B1,Q10B2,Q10B3,Q10B4,Q11A1,Q11A2,Q11B1,Q11B2,Q12A1,Q12A2,Q12B1,Q12B2,Q13A1,Q13A2,Q13A3,Q13A4,Q13B1,Q13B2,Q13B3,Q13B4,Q14A1,Q14A2,Q14A3,Q14A4,Q14B1,Q14B2,Q14B3,Q14B4,Q15A1,Q15A2,Q15A3,Q15A4,Q15A5,Q15A6,Q16A01,Q16A02,Q16A03,Q16A04,Q16A05,Q16A06,Q16A07,Q16A08,Q16A09,Q16A10,Q17A1,Q17A2,Q17A3,Q17A4,Q18A1,Q18A2,Q18A3,Q18A4,Q19A1,Q19A2,Q19A3,Q19A4,Q19A5,Q19A6,Q19A7,Q19A8,Q20A1,Q20A2,Q20A3,Q20A4,Q20A5,Q21A,Q21B,Q21AA1,Q21AA2,Q21AA3,Q21AA4,Q21AA5,Q21AA6,Q21AA7,Q21BA1,Q21BA2,Q21BA3,Q21BA4,Q21BB1,Q21BB2,Q21BB3,Q21BB4,Q21BC1,Q21BC2,Q21BC3,Q21BC4,Q21BCA11,Q21BCA12,Q21BCA21,Q21BCA22,Q21BCA31,Q21BCA32,Q21BCA41,Q21BCA42,Q21C1,Q21C2,Q21C3,Q22A01,Q22A02,Q22A03,Q22A04,Q22A05,Q22A06,Q22A07,Q22A08,Q22A09,Q22A10,Q22A11,Q22A12,Q22A13,Q22A14,Q22A15,Q22A16,Q22A17,Q22A18,Q22A19,Q22A20,Q22A21,Q22A22,Q22A23,Q22A24,Q22A25,Q22A26,Q22A27,Q22A28,Q23,Q24A1,Q24A2,Q24A3,Q24A4,Q25,Q26,Q27,Q28A01,Q28A02,Q28A03,Q28A04,Q28A05,Q28A06,Q28A07,Q28A08,Q28A09,Q28A10,Q28A11,Q28A12,Q28A13,Q29A1,Q29A2,Q29A3,Q29A4,Q29A5,Q29A6,Q29A7,CDQ1,CDQ2,CDQ3,CDQ3A,CDQ4,CDQ5,CDQ6,CDQ6A,CDQ7,CDQ8,CDQ9,CDQ10,CDQ11A1,CDQ11A2,CDQ11A3,CDQ11A4,CDQ11A5,CDQ11A6,CDQ11AA,CDQ12,CDQ13,CDQ13A1,CDQ13A2,CDQ13A3,CDQ13A4,CDQ13A5,CDQ13A6,CDQ13A7,CDQ13A8,CDQ14,CDQ15,CDQ161,CDQ162,CDQ163,wt
303874,3,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,3,3,3,3,3,3,3,3,3,2,2,2,2,,,,,,,,,,,,,,,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,69,2,2,,1,1,11,,1,1,2,1,0,,0,3,0,0,,3,2,1,,3,,,,,,2,3,9,1,1,2.20000000
308248,3,2,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,1,1,1,4,4,4,4,4,1,1,1,3,2,3,3,2,2,2,2,2,2,3,2,3,3,3,2,2,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,1,1,1,2,2,2,2,,,,,,1,5,1,5,1,5,,,3,3,2,1,2,,,,,,,,,,12,,,,,,,,,,,,,,,,,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,47,1,1,1,1,2,14,,3,2,2,2,,,,,,,,2,2,,2,,4,5,,,,2,2,17,1,1,0.64285714
308256,3,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1,3,3,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,3,2,1,3,3,3,3,3,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,1,1,1,1,2,9,,3,2,2,2,,,,,,,,3,2,,2,,4,,,,,2,4,16,1,1,1.00000000
308276,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,2,2,3,3,3,2,3,2,2,2,2,2,3,3,3,3,2,2,2,2,3,3,3,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,1,1,2,2,2,1,,,,3,,,2,1,,,,,,,2,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,66,2,3,,1,2,9,,2,1,1,,,,,,,,,3,1,,,,,,,,,1,2,16,1,1,0.77777778
308279,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,1,1,2,2,2,2,,,,,,,2,1,2,1,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,69,2,3,,2,2,9,,1,1,2,2,,,,,,,,1,2,1,,,,,,,,2,1,16,1,1,0.77777778
308293,3,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1,2,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,1,2,2,2,2,,,,,,,,2,1,,,,,,,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,66,1,2,,1,2,14,,2,1,1,,,,,,,,,2,2,1,,,,,,,,2,1,17,1,1,0.40000000
308587,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,4,4,4,4,2,2,2,3,2,1,1,1,1,1,1,1,1,1,2,1,3,3,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,69,2,3,,1,2,11,,1,1,2,2,,,,,,,,2,2,,,3,,,,,,2,3,16,1,1,0.77777778
308635,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,2,2,2,2,2,2,1,2,1,1,1,3,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,1,1,1,3,3,3,3,3,3,3,3,3,2,2,2,2,,,,,,,,,,,,,,,,,1,4,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,59,2,3,,1,1,14,,2,2,1,,,,,,,,,2,1,,,,,,,,,1,1,1,1,1,1.33333333
308647,3,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,4,3,1,4,4,4,4,4,3,3,3,3,4,3,2,2,2,1,1,1,1,2,2,1,1,4,1,2,3,2,2,2,1,2,3,3,3,3,3,3,3,3,3,2,2,2,2,,,,,,,,,,,,,,,,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,2,2,,1,1,14,,3,2,2,2,,,,,,,,2,2,,2,,4,,,,,2,2,5,1,1,0.50000000
308663,3,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,4,1,3,2,2,3,2,3,3,2,2,2,3,1,1,2,1,1,1,1,2,1,2,1,3,1,1,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,2,2,1,2,,,2,,,,,,,,,,2,7,,,3,3,3,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,51,2,2,,1,2,14,,2,1,2,2,,,,,,,,2,2,,,,4,,,,,2,1,1,1,1,1.50000000
308704,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,2,2,2,2,3,3,2,3,3,2,2,2,2,3,3,2,2,3,3,4,3,3,3,3,3,3,1,1,2,2,2,2,,,,,,,3,1,1,2,,,,,3,3,4,,,,,,,,,,10,,,13,,,,,,,,,,,,,,,,3,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,56,1,2,,1,1,14,,2,2,1,,,,,,,,,3,2,1,,,,,,,,2,2,9,1,1,1.85714286
308851,3,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,3,3,3,4,3,4,3,3,4,3,4,3,3,1,1,1,1,1,1,1,1,2,4,3,2,3,2,3,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,1,2,2,2,2,,,,,,,,2,1,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,65,1,2,,2,2,14,,3,1,1,,,,,,,,,2,2,1,,,,,,,,2,2,16,1,1,1.07692308
308875,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,3,3,3,3,3,3,3,2,2,3,3,2,3,2,2,2,1,1,1,2,1,1,2,2,1,2,1,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,2,2,2,2,,,,,1,5,5,6,5,1,3,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,2,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,65,1,2,,1,2,14,,1,1,1,,,,,,,,,2,1,,,,,,,,,1,1,9,1,1,2.10000000
308888,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,1,3,3,3,2,3,2,3,3,2,2,3,1,1,2,1,1,1,1,1,1,1,2,3,1,1,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,2,2,2,2,,,,,2,7,1,7,1,7,1,7,3,4,3,1,2,3,,,,,,,,,,,,,,,,,,,,23,,,,,,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,65,1,3,,1,1,14,,2,2,1,,,,,,,,,2,1,,,,,,,,,1,1,1,1,1,1.57142857
309186,3,1,2,3,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,1,1,1,4,4,4,4,4,4,4,4,4,4,3,3,3,3,1,1,1,3,3,3,3,3,3,3,2,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,,,,,,,,,,,,,,,,,4,3,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,1,1,2,1,1,14,,1,2,2,2,,,,,,,,2,2,,2,,4,,,,,2,5,17,1,1,0.64285714
309191,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,1,1,3,3,3,3,3,3,3,3,3,1,1,2,2,2,1,,,,4,,,1,2,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49,2,1,1,2,2,11,,3,1,2,2,,,,,,,,2,2,,2,,4,,,,,2,2,17,1,1,1.00000000
309222,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,1,1,1,4,3,2,2,3,3,3,2,2,3,2,1,2,1,1,1,1,1,3,2,2,2,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,69,1,2,,2,2,14,,3,1,2,2,,,,,,,,2,2,1,,3,,,,,,2,4,16,1,1,1.07692308
309244,3,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1,2,2,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,1,1,2,2,2,1,,,,4,,,2,5,,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,68,1,3,,2,2,9,,2,1,1,,,,,,,,,3,2,1,,3,,,,,,2,3,17,1,1,0.66666667
309253,3,2,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,2,2,1,3,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,2,2,2,1,2,2,2,3,3,3,3,3,3,3,3,3,1,1,2,2,1,1,,,3,3,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,63,1,3,,1,2,9,,3,1,1,,,,,,,,,2,2,1,,3,,,,,,2,4,17,1,1,0.66666667
309271,3,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,3,2,2,2,4,4,4,4,4,2,2,1,2,3,3,3,3,2,2,2,1,1,4,3,3,3,4,3,2,1,4,3,3,3,2,3,3,3,3,3,3,3,3,3,1,2,2,2,2,,,,,,,,1,2,,,,,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64,1,1,1,2,2,6,,2,1,1,,,,,,,,,2,2,1,,,,,,,,2,2,17,1,1,0.63636364
309273,3,2,1,3,2,2,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,2,2,2,4,4,4,3,4,3,4,3,3,3,3,3,2,2,2,2,2,2,2,1,3,3,3,2,2,1,2,3,3,2,1,3,3,3,3,3,3,3,3,3,1,1,2,2,2,2,,,,,,,1,2,1,2,,,,,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49,1,1,1,2,2,14,,2,1,1,,,,,,,,,2,1,,,,,,,,,1,1,17,1,1,0.64285714
309382,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,3,3,2,2,2,1,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64,2,1,2,1,2,11,,3,1,2,2,,,,,,,,2,2,1,,,,,,,,2,2,7,1,1,0.88636364
309386,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,3,3,2,2,2,2,2,3,2,1,1,1,1,1,1,1,1,2,2,2,3,2,2,2,2,1,2,1,2,2,3,3,3,3,3,3,3,3,3,1,1,1,2,2,2,2,,,,,,2,6,2,6,3,2,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55,1,1,2,1,2,14,,3,1,1,,,,,,,,,2,1,,,,,,,,,1,1,16,1,1,0.88709677
309392,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,3,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,1,3,3,3,3,3,3,3,3,3,2,2,2,2,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,67,1,1,2,2,1,14,,1,1,1,,,,,,,,,2,1,,,,,,,,,1,1,7,1,1,0.94594595
309393,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1,3,3,4,3,3,2,2,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,3,2,2,2,2,1,2,2,2,3,3,3,3,3,3,3,3,3,1,1,1,2,2,2,2,,,,,,2,6,1,6,3,5,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,59,1,1,2,1,2,14,,3,1,1,,,,,,,,,2,2,1,,,,,,,,2,2,7,1,1,0.88709677
309409,3,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,3,3,4,3,3,2,2,1,3,2,1,1,1,1,1,1,1,1,3,3,2,3,4,2,2,3,1,2,2,1,2,3,3,3,3,3,3,3,3,3,1,1,1,2,2,2,2,,,,,,2,1,2,1,2,1,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,1,1,,,,5,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,69,1,1,2,2,2,14,,3,1,1,,,,,,,,,2,2,1,,3,,,,,,2,4,7,1,1,0.94594595
309411,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,4,4,3,3,3,2,2,2,3,2,1,1,1,1,1,1,1,1,2,2,1,2,4,1,1,2,2,1,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64,2,3,,1,2,14,,3,1,2,2,,,,,,,,2,2,1,,3,,,,,,2,4,7,1,1,0.77777778
309414,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,2,3,3,2,3,2,2,3,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,3,2,1,1,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,63,1,3,,1,2,14,,3,1,1,,,,,,,,,2,1,,,,,,,,,1,1,7,1,1,1.00000000
309420,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,3,2,2,3,2,2,1,3,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,3,2,1,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,47,1,1,1,1,1,14,,1,2,1,,,,,,,,,2,1,,,,,,,,,1,1,16,1,1,0.93103448
309421,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,3,3,2,3,2,2,2,3,2,1,1,1,1,1,1,1,1,2,2,2,3,2,2,2,2,1,1,2,2,1,3,3,3,3,3,3,3,3,3,2,2,2,2,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,65,1,1,1,1,1,14,,1,1,1,,,,,,,,,2,1,,,,,,,,,1,1,7,1,1,0.94594595
309692,3,2,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,3,1,3,1,3,3,2,3,3,3,1,1,2,3,4,3,4,1,1,1,3,1,1,1,1,3,1,1,1,2,1,1,2,1,3,3,3,3,3,3,3,3,3,1,1,1,1,2,2,2,2,,,,,7,2,7,1,7,2,7,2,2,3,4,1,2,3,4,,,,,,,,12,13,,,,,,,,,,,,,,,,2,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,1,3,,1,1,14,,1,3,1,,,,,,,,,4,1,,,,,,,,,2,1,10,1,1,0.50000000
309695,3,1,1,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,2,4,1,3,1,1,1,3,1,1,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,2,2,3,3,,,,,,,1,2,1,2,1,1,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,68,2,4,,1,2,14,,3,1,1,,,,,,,,,1,2,1,,,,,,,,1,3,17,1,1,0.60000000
309698,3,2,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,1,1,3,3,3,4,3,3,3,3,1,1,1,3,3,2,3,1,1,1,3,2,1,1,1,3,1,1,1,2,3,2,3,2,3,3,3,3,3,3,3,3,3,1,1,1,2,2,2,2,,,,,,2,1,2,1,2,1,,,4,2,3,1,2,3,,,,,,,,,,13,,,,,,,,,,,,,,,,3,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,56,2,1,2,1,1,14,,1,1,1,,,,,,,,,3,1,,,,,,,,,2,1,10,1,1,0.53846154
309703,3,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,1,1,1,1,3,2,2,3,3,2,1,2,1,3,3,2,3,1,1,1,3,2,1,1,1,3,2,1,1,3,3,3,3,2,3,3,4,3,3,4,3,3,3,1,1,1,2,2,2,2,,,,,,2,1,2,1,2,1,,,4,4,4,1,2,3,,,,,,,,,12,13,,,,,,,,21,22,23,,,,,,4,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,58,2,1,1,1,1,11,,1,1,2,1,0,1,0,0,0,0,2,3,2,1,,3,,,,,,2,3,10,1,1,0.53846154
